# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Artificer	HD:8		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:ArtificerLVL|0	BONUS:VAR|ArtificerLVL|CL	BONUS:VAR|SpellCasterTotalLVL|ArtificerLVL/2	BONUS:VAR|SpellCasterClassCount|1	BONUS:VAR|SpellCasterModerate|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Artificer	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Artificer],[PRECLASS:1,Artificer=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Artificer		SPELLSTAT:INT	MEMORIZE:YES	BONUS:CASTERLEVEL|Artificer|CL	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5
###Block
1	ABILITY:Class|AUTOMATIC|Artificer
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ MAGICAL TINKERING			
1	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ SPELLCASTING	
1	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ CANTRIPS			
2	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ INFUSE ITEM				
3	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ ARTIFICER SPECIALIST		
3	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ THE RIGHT TOOL FOR THE JOB
4	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ ABILITY SCORE IMPROVEMENT	
6	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ TOOL EXPERTISE			
7	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ FLASH OF GENIUS			
10	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ MAGIC ITEM ADEPT			
11	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ SPELL-STORING ITEM		
14	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ MAGIC ITEM SAVANT			
18	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ MAGIC ITEM MASTER			
20	ABILITY:Artificer Class Feature|AUTOMATIC|KEY:Artificer / TCE ~ SOUL OF ARTIFICE

###Block: Casting
3	CAST:99,ArtificerCast1
4	CAST:99,ArtificerCast1
5	CAST:99,ArtificerCast1,ArtificerCast2
6	CAST:99,ArtificerCast1,ArtificerCast2
7	CAST:99,ArtificerCast1,ArtificerCast2
8	CAST:99,ArtificerCast1,ArtificerCast2
9	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
10	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
11	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
12	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3
13	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
14	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
15	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
16	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4
17	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
18	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
19	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5
20	CAST:99,ArtificerCast1,ArtificerCast2,ArtificerCast3,ArtificerCast4,ArtificerCast5

